ID_GéoFLA;COMMUNE1;COMMUNE;COMMUNE0;STATUT;POPULATION;SUPERFICIE;CHEF_LIEU;ORDONNée0;CENTROïdE;ORDONNée_;MOYENNE;CANTON;ARRONDISSE;DépARTEME;DépARTEM0;RégION;NOM_RégIO;OBJECT_ID;LENGTH;SHAPE_AREA;Referent;x;y
2859;124;11124;DURBAN-CORBIERES;Chef-lieu de pseudo-canton;0.7;2572;6392;17771;6388;17773;180;15;3;11;AUDE;91;LANGUEDOC-ROUSSILLON;2529;21350.7279525522;25799715.6226331;Emilie Louvet;684762.858518864;6210938.88523546
2860;125;11125;EMBRES-ET-CASTELMAURE;Commune simple;0.1;3276;6390;17708;6394;17697;340;15;3;11;AUDE;91;LANGUEDOC-ROUSSILLON;2530;24985.9364583605;32639088.5213602;Emilie Louvet;685216.740207223;6203373.23586167
2861;126;11126;ESCALES;Commune simple;0.3;1039;6291;18024;6301;18023;84;19;3;11;AUDE;91;LANGUEDOC-ROUSSILLON;2531;12753.4317929577;10208897.2179;Maria Lanzellotti;676281.750820546;6236027.74780545
2862;127;11127;ESCOULOUBRE;Commune simple;0.1;3239;5825;17484;5832;17476;1241;03;2;11;AUDE;91;LANGUEDOC-ROUSSILLON;2532;34318.0428741081;32150886.0460681;Carine Boucabeille;628891.262579168;6181733.98455974
2863;128;11128;ESCUEILLENS-ET-SAINT-JUST-DE-BELENGARD;Commune simple;0.1;1175;5741;17896;5742;17887;361;01;2;11;AUDE;91;LANGUEDOC-ROUSSILLON;2533;17911.0963519724;11557272.9992913;Jean Muratet;620295.118055548;6222867.18148246
2864;129;11129;ESPERAZA;Commune simple;2.1;1061;5905;17702;5905;17698;323;26;2;11;AUDE;91;LANGUEDOC-ROUSSILLON;2534;14893.0592674567;10501428.9889225;Karel Crombe;636383.041433944;6203885.72215267
2865;130;11130;ESPEZEL;Commune simple;0.2;1458;5741;17576;5745;17600;901;04;2;11;AUDE;91;LANGUEDOC-ROUSSILLON;2535;20540.6404382771;14850754.2255132;Carine Boucabeille;620335.562104293;6194215.0133092
2866;131;11131;FA;Commune simple;0.3;1197;5881;17705;5871;17693;385;26;2;11;AUDE;91;LANGUEDOC-ROUSSILLON;2536;17301.1124688781;12281844.1819638;Karel Crombe;633005.436183217;6203462.94507212
2867;132;11132;FABREZAN;Commune simple;1.1;2899;6293;17926;6300;17915;115;19;3;11;AUDE;91;LANGUEDOC-ROUSSILLON;2537;26615.9451332548;28372972.9349954;Maria Lanzellotti;676042.25124457;6225202.46623557
2868;133;11133;FAJAC-EN-VAL;Commune simple;0;1401;6099;17909;6103;17909;411;18;1;11;AUDE;91;LANGUEDOC-ROUSSILLON;2538;14470.1740875694;13769491.5418326;Maria Lanzellotti;656327.443758108;6224804.26170796
2869;134;11134;FAJAC-LA-RELENQUE;Commune simple;0;372;5502;18088;5504;18091;269;29;1;11;AUDE;91;LANGUEDOC-ROUSSILLON;2539;9356.64858425867;4040407.8176705;Jean Muratet;596707.086374761;6243443.09229659
2870;135;11135;LA FAJOLLE;Commune simple;0;1582;5694;17519;5695;17499;1588;04;2;11;AUDE;91;LANGUEDOC-ROUSSILLON;2540;15687.044032641;15470274.8965515;Carine Boucabeille;615237.906843256;6184230.92869927
2871;136;11136;FANJEAUX;Chef-lieu de pseudo-canton;0.8;2496;5753;17983;5755;17983;271;16;1;11;AUDE;91;LANGUEDOC-ROUSSILLON;2541;24757.2714982731;24628066.0589207;Jean Muratet;621691.35487944;6232451.84981029
2872;137;11137;FELINES-TERMENES;Commune simple;0.1;1038;6227;17762;6227;17757;427;23;1;11;AUDE;91;LANGUEDOC-ROUSSILLON;2542;12816.0515236475;10256668.8063757;Etienne Ouvrard & Matthieu Vaslin;668586.937058903;6209557.82836546
