Group.1,Group.2,x
57ffae94e403ab000d6ec7ec,FALSE,206
57ffaf11e403ab000e6c24f4,FALSE,214
57ffafb1b7c8d4000d36d39a,FALSE,206
57ffb012b7c8d4000c379f44,FALSE,213
57ffb177e403ab000d6ec820,FALSE,211
58008df8e52a91000cc628a8,FALSE,217
58009055f9db80000c1bd587,FALSE,211
58009113f9db80000ea93356,FALSE,205
5800990ce52a91000ee46dc5,FALSE,217
58009999e52a91000cc62966,FALSE,218
5800a415e52a91000dace938,FALSE,215
5800a992f9db80000ea93539,FALSE,215
5800aa61f9db80000d27b0f9,FALSE,216
5800adbaf9db80000c1bd839,FALSE,217
5800ae69e52a91000ee46fbd,FALSE,205
5800bcc6f9db80000d27b21f,FALSE,13
5800c45de52a91000daceb36,FALSE,205
5800c4b5f9db80000d27b26c,FALSE,210
5800c533e52a91000daceb50,FALSE,216
5800c673f9db80000c1bd95d,FALSE,20
5804ef29ab5c17000c266af7,FALSE,205
5804efb0cdb46e000e85b3d3,FALSE,245
581709dad9629c000db0e5ff,FALSE,220
58170a39d9629c000c77f113,FALSE,240
58170aa1d9629c000ef6f3a3,FALSE,240
58170b39460bba000e52331c,FALSE,220
58170bebd9629c000c77f117,FALSE,206
58170c49d9629c000c77f11b,FALSE,212
58170cbbd9629c000c77f11d,FALSE,209
58170d70460bba000cb72d99,FALSE,205
58170de1460bba000d4ba28b,FALSE,209
58170e5b460bba000cb72da1,FALSE,211
58170ede460bba000e52332a,FALSE,206
58170f46d9629c000c77f129,FALSE,205
58170fa1460bba000cb72da7,FALSE,208
58170fedd9629c000ef6f3bb,FALSE,205
5817105a460bba000cb72db5,FALSE,208
581711a4460bba000e523344,FALSE,217
58171209460bba000e52334a,FALSE,210
5817127f460bba000cb72dd7,FALSE,215
581712d7d9629c000db0e641,FALSE,217
58171333460bba000d4ba2c3,FALSE,215
58171385460bba000cb72de0,FALSE,216
58171405d9629c000ef6f3f5,FALSE,205
58171490460bba000d4ba2d2,FALSE,216
581714ffd9629c000c77f17d,FALSE,218
5817156ed9629c000db0e66d,FALSE,210
581715c2d9629c000ef6f418,FALSE,214
58171632460bba000d4ba2eb,FALSE,213
58171686460bba000e523394,FALSE,218
581716e7460bba000cb72e13,FALSE,215
58171753d9629c000ef6f42a,FALSE,218
581717b7460bba000cb72e24,FALSE,211
58171afa460bba000e5233c5,FALSE,15
58171b7f460bba000cb72e62,FALSE,21
58171cb5460bba000e5233e9,FALSE,20
58171e85d9629c000db0e6ea,FALSE,213
58171eda460bba000d4ba352,FALSE,207
58171f27d9629c000db0e6f3,FALSE,205
58171f89460bba000d4ba35f,FALSE,218
58171fe1d9629c000ef6f487,FALSE,205
58172034d9629c000db0e703,FALSE,205
58172086d9629c000db0e709,FALSE,208
581720dcd9629c000ef6f497,FALSE,205
581723b8d9629c000ef6f4c2,FALSE,205
581723f7460bba000e523456,FALSE,216
5817259cd9629c000ef6f4eb,FALSE,205
581725f1d9629c000db0e75c,FALSE,205
58172631d9629c000c77f26b,FALSE,205
5817267cd9629c000ef6f4fa,FALSE,217
581726bf460bba000cb72efc,FALSE,205
58172739460bba000cb72f04,FALSE,205
58172aff460bba000e5234a9,FALSE,21
58172e2f460bba000d4ba414,FALSE,18
5817300dd9629c000c77f2c3,FALSE,20
5817305bd9629c000db0e7de,FALSE,206
581730ffd9629c000db0e7e5,FALSE,205
581731a0d9629c000db0e7e9,FALSE,216
5817328ad9629c000ef6f56d,FALSE,205
5817331ad9629c000db0e7f3,FALSE,209
5817403e460bba000cb72feb,FALSE,205
58174084460bba000d4ba4ae,FALSE,205
581740c3d9629c000ef6f5f4,FALSE,205
58174118460bba000e523578,FALSE,210
5817415f460bba000cb73001,FALSE,214
581741b7460bba000e523581,FALSE,205
58174232d9629c000db0e888,FALSE,218
5817427fd9629c000ef6f612,FALSE,205
581742cad9629c000db0e88c,FALSE,214
58174316460bba000e523595,FALSE,212
5817435c460bba000cb73015,FALSE,205
581743ccd9629c000db0e894,FALSE,211
58174432460bba000cb73021,FALSE,206
581744a0d9629c000db0e89f,FALSE,211
58174775d9629c000c77f3a5,FALSE,214
581747f9460bba000d4ba510,FALSE,21
58174c41460bba000e5235da,FALSE,214
58174cbbd9629c000c77f3b0,FALSE,198
58174f4fd9629c000c77f3be,FALSE,217
58174fab460bba000d4ba523,FALSE,205
581754f5460bba000d4ba545,FALSE,208
5817562bd9629c000db0e90f,FALSE,205
58175832d9629c000c77f3f9,FALSE,205
58175888d9629c000c77f3fe,FALSE,205
58175a76d9629c000db0e931,FALSE,205
58175ad0d9629c000c77f410,FALSE,205
58175d63460bba000cb730cd,FALSE,205
58175d7bd9629c000db0e941,FALSE,205
58176926460bba000d4ba5ba,FALSE,215
5817698f460bba000e523692,FALSE,177
58176be8d9629c000ef6f721,FALSE,208
58176eda460bba000d4ba611,FALSE,216
58176f3bd9629c000c77f4bc,FALSE,181
581771a9460bba000d4ba63c,FALSE,211
58177229460bba000e52371c,FALSE,218
5817730ad9629c000ef6f794,FALSE,215
58177375460bba000cb731b2,FALSE,207
581773cb460bba000e523735,FALSE,165
5817741ad9629c000db0ea26,FALSE,207
5817745e460bba000cb731ba,FALSE,20
581774ae460bba000cb731be,FALSE,214
58177510460bba000e523742,FALSE,205
58177636d9629c000db0ea37,FALSE,217
58177680460bba000e523758,FALSE,21
581776bfd9629c000c77f510,FALSE,205
58177719d9629c000ef6f7bc,FALSE,184
58177765460bba000e523760,FALSE,205
5817781fd9629c000ef6f7ca,FALSE,214
58177883d9629c000ef6f7d2,FALSE,165
581778e0d9629c000ef6f7db,FALSE,21
58177edad9629c000db0eab7,FALSE,217
58177f19460bba000cb73237,FALSE,217
58178230460bba000e5238f6,FALSE,215
58178283460bba000e523917,FALSE,210
581aef86ac7861000dcbd6e0,FALSE,221
581cb952816f99000cccd606,FALSE,212
581cbb05530660000df17c3e,FALSE,205
581cbf12530660000df17c73,FALSE,18
581cbf7b530660000cdb89b5,FALSE,20
581dcb5b3f55e7000c824281,FALSE,206
581dcdd83f55e7000c8243aa,FALSE,205
581f0e4b624257000c9e3aa8,FALSE,217
581f0f06761ad5000ca70886,FALSE,205
581fb1e4761ad5000d50c288,FALSE,205
581fb2c1761ad5000e060180,FALSE,205
581fb4ea761ad5000e060275,FALSE,225
581fb5b5761ad5000e0602c8,FALSE,57
58244251d5e308000e39e7e6,FALSE,206
5824429ed5e308000fcda39e,FALSE,211
582443c0d5e308000fcda3ee,FALSE,209
5824441c8974cb000d3063dd,FALSE,213
582445efd5e308000e39e910,FALSE,205
58244651d5e308000e39e937,FALSE,205
58244e6e8974cb000d30679f,FALSE,205
58244eafd5e308000e39ec23,FALSE,192
582472b2c4cffa000d284a74,FALSE,205
5824730ac4cffa000d284a76,FALSE,205
5824734750f6b2000e918850,FALSE,208
58247386c4cffa000e8816dc,FALSE,211
582473edc4cffa000e8816de,FALSE,205
5824743e50f6b2000e918857,FALSE,205
5824747bc4cffa000e8816e0,FALSE,213
582474d9c4cffa000d284a82,FALSE,206
582478f1c4cffa000e8816f4,FALSE,209
5824794250f6b2000f1f0630,FALSE,217
5824797ec4cffa000d284a96,FALSE,216
582479c150f6b2000d3a2630,FALSE,208
58247a0450f6b2000f1f0633,FALSE,209
58247a53c4cffa000d284a9b,FALSE,205
58247be2c4cffa000e881704,FALSE,210
58247c2c50f6b2000d3a263c,FALSE,218
58247c65c4cffa000e881709,FALSE,214
58247ca9c4cffa000e88170c,FALSE,210
58247ce5c4cffa000f4927d4,FALSE,216
58247d27c4cffa000e881710,FALSE,217
58247d6bc4cffa000f4927d8,FALSE,208
58247dac50f6b2000e918881,FALSE,213
58247ee2c4cffa000f4927dc,FALSE,205
58247f4fc4cffa000e88171a,FALSE,205
5824aec750f6b2000e918967,FALSE,212
5824b02450f6b2000e918970,FALSE,212
5824b5bcc4cffa000d284ba7,FALSE,206
5824b633c4cffa000e881826,FALSE,211
5824b690c4cffa000d284bb0,FALSE,205
5824b84150f6b2000f1f0732,FALSE,205
5824b89950f6b2000d3a2726,FALSE,207
582875f1b5a1dc000d85a480,FALSE,21
582877ae6950e2000d73128c,FALSE,18
582879936950e2000d73128e,FALSE,21
58287aa7b5a1dc000d85a484,FALSE,233
58287b346950e2000eb96a30,FALSE,218
58287be66950e2000d731290,FALSE,214
58287c48b5a1dc000d85a486,FALSE,217
58287c966950e2000d731292,FALSE,213
58287cd8b5a1dc000faf5ad0,FALSE,205
58287d126950e2000eb96a32,FALSE,213
58287d676950e2000f67e10e,FALSE,205
582890d8b5a1dc000faf5ada,FALSE,236
58289141b5a1dc000ec68bed,FALSE,205
5828925bb5a1dc000d85a490,FALSE,110
5828aa706950e2000eb96a5c,FALSE,205
5828aaccb5a1dc000faf5af8,FALSE,208
5828ab89b5a1dc000d85a4ab,FALSE,205
5828abe36950e2000f67e140,FALSE,224
582adc9398003e000fd03354,FALSE,221
582adcf0783121000d716554,FALSE,246
582ade2d783121000fce8b36,FALSE,220
582ade9598003e000fd0335e,FALSE,205
582ae04198003e000d32b88b,FALSE,232
582ae0ea783121000fce8b43,FALSE,244
582ae15598003e000e08efb0,FALSE,211
582ae1c1783121000e3069a7,FALSE,205
582ae27a783121000e3069ae,FALSE,245
582ae35b783121000d716570,FALSE,247
582ae419783121000fce8b4e,FALSE,223
582afe4a783121000fce8bb4,FALSE,229
582afea398003e000e08f027,FALSE,228
582b01e8783121000e306a1a,FALSE,19
582b024f98003e000d32b913,FALSE,20
582b06e798003e000fd033f3,FALSE,205
582b0744783121000fce8bd5,FALSE,205
582b0cc8783121000fce8be4,FALSE,205
582b0d12783121000d716616,FALSE,205
582b0d70783121000fce8be6,FALSE,205
582b0dcb783121000d71661a,FALSE,205
582b0e0d783121000fce8bed,FALSE,205
582b0e76783121000fce8bf1,FALSE,205
582b0ec4783121000d71661e,FALSE,205
582b0f0a783121000d716620,FALSE,205
582b0f43783121000d716623,FALSE,205
582b0f8a783121000d716627,FALSE,208
582b0fce98003e000d32b947,FALSE,205
582b100b783121000fce8bfe,FALSE,205
582b1087783121000e306a4b,FALSE,205
582b12da98003e000e08f071,FALSE,212
582b136d783121000fce8c11,FALSE,205
582b13c998003e000d32b95a,FALSE,205
582b145798003e000d32b95c,FALSE,205
582b149998003e000fd03427,FALSE,205
582b156998003e000fd0342d,FALSE,205
582b15a9783121000fce8c19,FALSE,218
582b167198003e000d32b964,FALSE,242
582b16c498003e000e08f082,FALSE,22
582b1741783121000d716645,FALSE,214
582b181698003e000d32b96f,FALSE,205
582c566ab5955a000da33f7a,FALSE,210
582c56a5b5955a000e7b0290,FALSE,209
582c58adf769f8000d5298da,FALSE,205
582c58feb5955a000f19dc93,FALSE,205
582c593cf769f8000fde01ed,FALSE,218
582c598db5955a000e7b02a1,FALSE,208
582c5b2cb5955a000e7b02ad,FALSE,246
582c5bbdb5955a000f19dca8,FALSE,238
582c5c03f769f8000e0de743,FALSE,235
582c5e32b5955a000e7b02b8,FALSE,21
582c5e77f769f8000e0de74e,FALSE,20
582c6711f769f8000d529936,FALSE,19
582c6783f769f8000e0de788,FALSE,20
582c6a18f769f8000e0de795,FALSE,21
582c6e09b5955a000da33fea,FALSE,20
582d679dca7450000f88f0dc,FALSE,19
582d688051c70b000dfcd797,FALSE,208
582d6b3b51c70b000dfcd7a3,FALSE,209
582d6bd1ca7450000ea6dea0,FALSE,205
582d6f5451c70b000dfcd7b1,FALSE,232
582d70eb51c70b000fd347f9,FALSE,205
582d725eca7450000d770f9a,FALSE,205
582d72bfca7450000f88f111,FALSE,217
582d777251c70b000eae47e1,FALSE,217
582eefe06cb6c8000d245e74,FALSE,211
5831a8aa1d3078000e1accba,FALSE,205
