"Directory or file in ""/sps/mnhn""";Space used;# of files;Average file size;Median file size;# of directories;# of symlinks;Most recent file access time;Most recent file modification time;participation;site;point;user;date;enregistreur;micro;latitude;longitude;carre
vigiechiro/vigiechiro-prod-datastore/60febdb14fb76b0010a9093e;7.09 GiB;1;7.09 GiB;7.09 GiB;0;0;2021/09/12 12:24;2021/09/12 12:24;60febdb14fb76b0010a9093e;5f47cad2cc0f72000f5a7596;Z2;562201812bfcd5000c929074;2021-07-09T19:11:00Z;SM2BAT+;SMX-US;47.2866978597641;0.735107129048291;Vigiechiro - Point Fixe-370663
vigiechiro/vigiechiro-prod-datastore/60fece034fb76b0010a90d08;1.64 GiB;2081;826.42 KiB;37.21 KiB;0;0;2021/10/21 09:06;2021/10/21 09:06;60fece034fb76b0010a90d08;60effdd09f6efb0010333a3a;Z1;5f803d80c5b6510010862883;2021-06-29T19:00:00Z;SM3;SMM-U2;45.4557571084288;0.194020664100423;Vigiechiro - Point Fixe-161281
vigiechiro/vigiechiro-prod-datastore/60ffaa664ed44500110934c7;17.68 GiB;13620;1.33 MiB;42.56 KiB;0;0;2022/10/26 23:01;2022/10/26 23:20;60ffaa664ed44500110934c7;5d19c37e76102c000e8c2a6f;Z7;5ca751a784f0c8000d000268;2021-07-15T19:00:00Z;PassiveRecorder;;48.8964905176499;2.16498675280207;Vigiechiro - Point Fixe-920012
vigiechiro/vigiechiro-prod-datastore/6102de955615283569e82c9f;2.08 GiB;2468;884.02 KiB;2.48 KiB;0;0;2022/10/20 12:30;2022/10/20 12:32;6102de955615283569e82c9f;591db6e18e35c8000d6dd401;Z6;591b097eee861d000d7dd6b2;2021-05-26T18:55:00Z;SM4;;44.4008250521396;4.20486822724342;Vigiechiro - Point Fixe-071285
vigiechiro/vigiechiro-prod-datastore/6103cefed52c10b22608a31f;14.18 GiB;25943;573.11 KiB;3.14 KiB;0;0;2022/10/20 13:35;2022/10/20 13:44;6103cefed52c10b22608a31f;6102f0bd2231675b2c892ac2;Z1;601424d5f75e91000f6fea87;2021-06-22T19:35:00Z;Audiomoth;Micro interne;47.3983118726456;-1.23887922720358;Vigiechiro - Point Fixe-440885
vigiechiro/vigiechiro-prod-datastore/61069085d8f98726b39fd492;29.04 GiB;16900;1.76 MiB;97.52 KiB;0;0;2022/10/22 02:16;2022/10/22 02:24;61069085d8f98726b39fd492;60a7823c8bca360011617b21;Z2;5d3212302b56c4000f6a31f3;2021-06-21T18:53:00Z;;;43.6757849740644;7.09513127506518;Vigiechiro - Point Fixe-060983
vigiechiro/vigiechiro-prod-datastore/610690b732699be71abc00da;19.95 GiB;15599;1.31 MiB;33.13 KiB;0;0;2022/10/22 01:18;2022/10/22 01:38;610690b732699be71abc00da;60a782918bca3600101fadab;Z2;5d3212302b56c4000f6a31f3;2021-06-21T18:53:00Z;;;43.6745767314916;7.10011756019057;Vigiechiro - Point Fixe-060984
vigiechiro/vigiechiro-prod-datastore/61069106d8f98726b39fd4a2;37.34 GiB;18428;2.07 MiB;240.12 KiB;0;0;2022/10/27 00:43;2022/10/27 00:50;61069106d8f98726b39fd4a2;60a781d6beb7630011e2e3c6;Z1;5d3212302b56c4000f6a31f3;2021-06-22T18:54:00Z;;;43.6604489255253;7.11657806398605;Vigiechiro - Point Fixe-061003
vigiechiro/vigiechiro-prod-datastore/61069120080fc49901d86060;15.46 GiB;11291;1.40 MiB;34.60 KiB;0;0;2022/10/22 01:14;2022/10/22 01:35;61069120080fc49901d86060;60a78165beb763000f1ed1e5;Z2;5d3212302b56c4000f6a31f3;2021-06-22T18:54:00Z;;;43.6501567811324;7.13421888859207;Vigiechiro - Point Fixe-061004
vigiechiro/vigiechiro-prod-datastore/6107f3e30ae022b580c67388;5.41 GiB;6596;859.27 KiB;3.95 KiB;0;0;2022/10/22 01:23;2022/10/22 01:25;6107f3e30ae022b580c67388;6107f1387bc489106557500d;Z1;6107e45b7bc4891065574b4e;2021-05-31T18:00:00Z;SM2BAT;;47.7742505540285;6.8902134382337;Vigiechiro - Point Fixe-900009
vigiechiro/vigiechiro-prod-datastore/610952b6096acb99d007528f;3.61 GiB;4315;877.29 KiB;69.88 KiB;0;0;2022/10/20 16:59;2022/10/20 17:03;610952b6096acb99d007528f;5ef086ccb9ef1d0011a95f7b;A1;5ee8d133564bde000fab14ca;2021-07-28T19:00:00Z;PassiveRecorder;Micro externe sans cornet;45.835580898569;2.83001565910137;Vigiechiro - Point Fixe-630684
vigiechiro/vigiechiro-prod-datastore/610a446d5701f4938481e920;18.23 GiB;17811;1.05 MiB;192.63 KiB;0;0;2022/10/20 17:35;2022/10/21 05:17;610a446d5701f4938481e920;60a8aea8cac8fc0011eb1fdb;Z1;60a2af56c5dfb2000f375bc4;2021-07-27T19:00:00Z;SM mini;Micro interne;43.7440368694688;3.91740486643574;Vigiechiro - Point Fixe-340295
vigiechiro/vigiechiro-prod-datastore/610bd5a664f89d4fd668fcf3;49.11 GiB;50403;1021.68 KiB;47.07 KiB;0;0;2022/12/20 22:28;2022/12/20 22:28;610bd5a664f89d4fd668fcf3;610156f9dee59e46f4991706;Z1;5f23ed9caabe14000f8ae90b;2020-09-09T19:30:00Z;Audiomoth;;48.5423747771755;1.6356073408851;Vigiechiro - Point Fixe-280419
vigiechiro/vigiechiro-prod-datastore/610ec019444503525b3118b3;1.55 GiB;4328;374.67 KiB;375.04 KiB;0;0;2021/08/09 11:49;2021/08/09 11:49;610ec019444503525b3118b3;60f5181d78dccc000f056508;;5894c8530bab8f000f8e7d1e;2021-07-20T20:00:00Z;PassiveRecorder;;47.3675478934927;-0.301301936009988;Vigiechiro - Pédestre-490982
vigiechiro/vigiechiro-prod-datastore/61123077bc6f4fc062d190c5;1.27 GiB;19220;69.03 KiB;2.37 KiB;0;0;2022/10/20 20:50;2022/10/20 21:07;61123077bc6f4fc062d190c5;61122feb5f1f0fdc3ae0671f;Z1;5f3512bb69c3d1000f886f37;2021-07-10T19:10:00Z;SM4;SMM-U2;47.1337757085117;4.7677803410619;Vigiechiro - Point Fixe-211856
vigiechiro/vigiechiro-prod-datastore/6112736345aa4681a3d1a953;14.62 GiB;14154;1.06 MiB;14.42 KiB;0;0;2022/11/17 14:09;2022/11/17 14:09;6112736345aa4681a3d1a953;611271144a3ca1ba37ab7f86;Z1;60e7f6174017230010a83a06;2021-07-19T19:30:00Z;Audiomoth;Micro interne;44.900935766525;3.08729940826882;Vigiechiro - Point Fixe-151141
