Group.1;Group.2;Group.3;Group.4;x
Vigie-chiro - Routier-286;03/09/2019 21:15;direct; 1;1
Vigie-chiro - Routier-123;03/09/2020 21:00;direct; 1;1
Vigie-chiro - Routier-81;03/10/2007 22:00;direct; 1;1
Vigie-chiro - Routier-436;03/10/2009 22:17;direct; 1;1
Vigie-chiro - Routier-435;03/10/2010 22:00;direct; 1;1
Vigie-chiro - Routier-10;04/07/2006 00:30;direct; 1;1
Vigie-chiro - Routier-5;04/07/2006 00:30;direct; 1;1
Vigie-chiro - Routier-71;04/07/2007 00:15;direct; 1;1
Vigie-chiro - Routier-5;04/07/2008 00:10;direct; 1;1
Vigie-chiro - Routier-131;04/07/2008 00:32;direct; 1;1
Vigie-chiro - Routier-64;04/07/2008 02:45;direct; 1;1
Vigie-chiro - Routier-194;04/07/2009 00:15;direct; 1;1
Vigie-chiro - Routier-157;04/07/2009 00:16;direct; 1;1
Vigie-chiro - Routier-51;04/07/2009 01:08;direct; 1;1
Vigie-chiro - Routier-168;04/07/2009 22:25;direct; 1;1
Vigiechiro - Pédestre-340985;04/07/2010 22:00;direct; 1;1
Vigie-chiro - Routier-414;04/07/2012 00:15;direct; 1;1
Vigie-chiro - Routier-98;04/07/2012 00:15;direct; 1;1
Vigie-chiro - Routier-151;04/07/2012 00:39;direct; 1;1
Vigie-chiro - Routier-62;04/07/2012 00:46;direct; 1;1
Vigie-chiro - Routier-435;04/07/2013 00:27;direct; 1;1
Vigie-chiro - Routier-263;04/07/2016 22:00;direct; 1;1
Vigie-chiro - Routier-624;04/07/2016 22:20;direct; 1;1
Vigiechiro - Pédestre-590470;04/07/2016 22:30;direct; 1;1
Vigie-chiro - Routier-605;04/07/2016 22:52;direct; 1;1
Vigie-chiro - Routier-416;04/07/2016 23:00;direct; 1;1
Vigiechiro - Pédestre-351213;04/07/2016 23:15;direct; 1;1
Vigiechiro - Pédestre-820685;04/07/2017 00:35;direct; 1;1
Vigie-chiro - Routier-62;04/07/2017 00:40;direct; 1;1
Vigie-chiro - Routier-123;04/07/2017 22:25;direct; 1;1
Vigiechiro - Pédestre-590537;04/07/2017 22:30;direct; 1;1
Vigiechiro - Pédestre-590514;04/07/2017 22:50;direct; 1;1
Vigiechiro - Pédestre-621070;04/07/2017 22:55;direct; 1;1
Vigie-chiro - Routier-619;04/07/2018 22:28;direct; 1;1
Vigiechiro - Pédestre-800194;04/07/2018 22:30;direct; 1;1
Vigie-chiro - Routier-83;04/07/2018 22:39;direct; 1;1
Vigiechiro - Pédestre-590530;04/07/2018 22:45;direct; 1;1
Vigie-chiro - Routier-176;04/07/2019 22:26;direct; 1;1
Vigie-chiro - Routier-438;04/07/2019 22:49;direct; 1;1
Vigie-chiro - Routier-619;04/07/2020 22:26;direct; 1;2
Vigie-chiro - Routier-618;04/07/2020 22:34;direct; 1;2
Vigiechiro - Pédestre-041555;04/07/2021 22:18;direct; 1;1
Vigie-chiro - Routier-6;04/08/2010 00:06;direct; 1;1
Vigie-chiro - Routier-85;04/08/2016 21:47;direct; 1;1
Vigie-chiro - Routier-14;04/09/2007 23:00;direct; 1;1
Vigiechiro - Pédestre-800194;04/09/2012 22:55;direct; 1;1
Vigie-chiro - Routier-177;04/09/2013 21:03;direct; 1;1
Vigie-chiro - Routier-48;04/09/2013 22:38;direct; 1;1
Vigiechiro - Pédestre-220061;04/09/2013 23:19;direct; 1;1
Vigiechiro - Pédestre-130682;04/09/2014 21:00;direct; 1;1
Vigiechiro - Pédestre-910449;04/09/2014 23:09;direct; 1;1
Vigie-chiro - Routier-84;04/09/2017 21:00;direct; 1;1
Vigiechiro - Pédestre-590470;04/09/2017 21:00;direct; 1;1
Vigie-chiro - Routier-618;04/09/2017 21:15;direct; 1;1
Vigie-chiro - Routier-623;04/09/2017 21:30;direct; 1;1
Vigiechiro - Pédestre-290575;04/09/2017 22:15;direct; 1;1
Vigie-chiro - Routier-440;04/09/2018 21:03;direct; 1;1
Vigie-chiro - Routier-398;04/09/2018 23:15;direct; 1;1
Vigiechiro - Pédestre-590537;04/09/2019 21:00;direct; 1;1
Vigiechiro - Pédestre-621070;04/09/2019 21:05;direct; 1;1
Vigie-chiro - Routier-83;04/10/2007 22:30;direct; 1;1
Vigie-chiro - Routier-116;04/10/2008 22:00;direct; 1;1
Vigiechiro - Pédestre-750016;04/10/2011 20:15;direct; 1;1
Vigiechiro - Pédestre-220885;04/10/2018 20:05;direct; 1;1
Vigie-chiro - Routier-69;05/07/2007 00:30;direct; 1;1
Vigie-chiro - Routier-65;05/07/2007 02:30;direct; 1;1
Vigie-chiro - Routier-38;05/07/2008 00:30;direct; 1;1
Vigie-chiro - Routier-160;05/07/2009 00:15;direct; 1;1
Vigie-chiro - Routier-176;05/07/2009 22:30;direct; 1;1
Vigiechiro - Pédestre-151376;05/07/2011 00:40;direct; 1;1
Vigiechiro - Pédestre-221058;05/07/2011 00:45;direct; 1;1
Vigie-chiro - Routier-62;05/07/2011 00:55;direct; 1;1
Vigiechiro - Pédestre-590530;05/07/2011 22:30;direct; 1;1
Vigie-chiro - Routier-3;05/07/2012 00:57;direct; 1;1
Vigie-chiro - Routier-49;05/07/2013 00:04;direct; 1;1
Vigie-chiro - Routier-262;05/07/2013 00:07;direct; 1;1
Vigiechiro - Pédestre-220447;05/07/2014 00:45;direct; 1;1
Vigie-chiro - Routier-57;05/07/2016 00:45;direct; 1;1
Vigiechiro - Pédestre-220030;05/07/2016 21:39;direct; 1;1
Vigie-chiro - Routier-262;05/07/2016 22:00;direct; 1;1
Vigie-chiro - Routier-80;05/07/2016 22:00;direct; 1;1
Vigiechiro - Pédestre-740752;05/07/2016 22:10;direct; 1;1
Vigie-chiro - Routier-286;05/07/2016 22:30;direct; 1;1
Vigie-chiro - Routier-398;05/07/2017 00:25;direct; 1;1
Vigie-chiro - Routier-57;05/07/2017 00:40;direct; 1;1
Vigiechiro - Pédestre-840112;05/07/2018 22:00;direct; 1;1
Vigie-chiro - Routier-435;05/07/2018 22:29;direct; 1;1
Vigiechiro - Pédestre-590514;05/07/2018 22:35;direct; 1;1
Vigiechiro - Pédestre-740775;05/08/2021 21:00;direct; 1;1
Vigie-chiro - Routier-3;05/09/2007 23:00;direct; 1;1
Vigie-chiro - Routier-40;05/09/2007 23:00;direct; 1;1
Vigie-chiro - Routier-51;05/09/2007 23:00;direct; 1;1
Vigie-chiro - Routier-11;05/09/2007 23:45;direct; 1;1
Vigie-chiro - Routier-49;05/09/2008 23:05;direct; 1;1
Vigie-chiro - Routier-176;05/09/2009 21:10;direct; 1;1
Vigie-chiro - Routier-70;05/09/2010 01:47;direct; 1;1
Vigie-chiro - Routier-177;05/09/2010 22:02;direct; 1;1
Vigie-chiro - Routier-49;05/09/2010 22:55;direct; 1;1
Vigie-chiro - Routier-262;05/09/2011 20:40;direct; 1;1
Vigie-chiro - Routier-81;05/09/2011 21:00;direct; 1;1
Vigie-chiro - Routier-287;05/09/2011 23:09;direct; 1;1
Vigie-chiro - Routier-265;05/09/2011 23:38;direct; 1;1
Vigie-chiro - Routier-168;05/09/2012 00:02;direct; 1;1
Vigie-chiro - Routier-84;05/09/2012 21:20;direct; 1;1
Vigie-chiro - Routier-438;05/09/2012 22:50;direct; 1;1
Vigie-chiro - Routier-49;05/09/2013 22:28;direct; 1;1
Vigie-chiro - Routier-98;05/09/2013 22:55;direct; 1;1
Vigiechiro - Pédestre-820685;05/09/2013 22:58;direct; 1;1
Vigie-chiro - Routier-127;05/09/2013 23:11;direct; 1;1
Vigiechiro - Pédestre-590514;05/09/2014 21:00;direct; 1;1
Vigiechiro - Pédestre-910186;05/09/2014 23:02;direct; 1;1
Vigie-chiro - Routier-382;05/09/2015 21:15;direct; 1;1
Vigie-chiro - Routier-605;05/09/2016 21:15;direct; 1;1
Vigie-chiro - Routier-619;05/09/2017 20:49;direct; 1;1
Vigie-chiro - Routier-126;05/09/2017 20:55;direct; 1;1
Vigiechiro - Pédestre-590530;05/09/2017 21:00;direct; 1;1
Vigie-chiro - Routier-83;05/09/2017 21:11;direct; 1;1
Vigiechiro - Pédestre-820685;05/09/2017 23:00;direct; 1;1
Vigie-chiro - Routier-623;05/09/2018 21:05;direct; 1;1
Vigie-chiro - Routier-289;05/09/2018 21:50;direct; 1;1
Vigie-chiro - Routier-96;05/10/2007 22:00;direct; 1;1
Vigie-chiro - Routier-437;05/10/2009 22:10;direct; 1;1
Vigie-chiro - Routier-461;06/06/2015 22:40;direct; 1;1
Vigie-chiro - Routier-6;06/07/2007 00:30;direct; 1;1
Vigie-chiro - Routier-150;06/07/2009 00:16;direct; 1;1
Vigie-chiro - Routier-32;06/07/2010 00:25;direct; 1;1
Vigiechiro - Pédestre-770457;06/07/2010 00:29;direct; 1;1
Vigie-chiro - Routier-32;06/07/2011 00:26;direct; 1;1
Vigiechiro - Pédestre-940009;06/07/2011 22:20;direct; 1;1
Vigie-chiro - Routier-87;06/07/2011 22:30;direct; 1;1
Vigiechiro - Pédestre-590514;06/07/2011 22:30;direct; 1;1
Vigie-chiro - Routier-381;06/07/2012 00:47;direct; 1;1
Vigie-chiro - Routier-263;06/07/2013 00:06;direct; 1;1
Vigie-chiro - Routier-125;06/07/2015 22:30;direct; 1;1
Vigie-chiro - Routier-81;06/07/2015 22:40;direct; 1;1
Vigiechiro - Pédestre-350004;06/07/2015 22:50;direct; 1;1
Vigiechiro - Pédestre-861550;06/07/2016 00:49;direct; 1;1
Vigie-chiro - Routier-609;06/07/2016 22:15;direct; 1;1
Vigie-chiro - Routier-428;06/07/2016 22:35;direct; 1;1
Vigie-chiro - Routier-287;06/07/2016 22:40;direct; 1;1
Vigiechiro - Pédestre-290722;06/07/2016 22:40;direct; 1;1
Vigiechiro - Pédestre-220447;06/07/2016 23:15;direct; 1;1
Vigie-chiro - Routier-126;06/07/2017 22:20;direct; 1;1
Vigie-chiro - Routier-428;06/07/2017 22:47;direct; 1;1
Vigiechiro - Pédestre-220447;06/07/2017 23:15;direct; 1;1
Vigie-chiro - Routier-87;06/07/2018 22:53;direct; 1;1
Vigie-chiro - Routier-19;06/07/2020 22:27;direct; 1;2
Vigie-chiro - Routier-435;06/07/2020 22:27;direct; 1;2
Vigie-chiro - Routier-435;06/07/2021 22:41;direct; 1;1
Vigie-chiro - Routier-176;06/07/2021 22:53;direct; 1;1
Vigie-chiro - Routier-77;06/08/2007 00:00;direct; 1;1
Vigie-chiro - Routier-78;06/08/2007 00:00;direct; 1;1
Vigiechiro - Pédestre-750008;06/08/2008 01:11;direct; 1;1
Vigie-chiro - Routier-6;06/08/2009 00:00;direct; 1;1
Vigie-chiro - Routier-352;06/08/2014 23:56;direct; 1;1
Vigie-chiro - Routier-61;06/09/2007 01:15;direct; 1;1
Vigie-chiro - Routier-48;06/09/2007 22:15;direct; 1;1
Vigie-chiro - Routier-38;06/09/2007 23:00;direct; 1;1
Vigie-chiro - Routier-76;06/09/2008 23:25;direct; 1;1
Vigie-chiro - Routier-177;06/09/2009 21:06;direct; 1;1
Vigie-chiro - Routier-90;06/09/2009 23:51;direct; 1;1
Vigiechiro - Pédestre-041555;06/09/2010 22:55;direct; 1;1
Vigie-chiro - Routier-58;06/09/2010 23:37;direct; 1;1
Vigie-chiro - Routier-57;06/09/2012 00:45;direct; 1;1
Vigiechiro - Pédestre-130682;06/09/2012 22:23;direct; 1;1
Vigiechiro - Pédestre-621406;06/09/2012 22:47;direct; 1;1
Vigie-chiro - Routier-19;06/09/2012 22:57;direct; 1;1
Vigie-chiro - Routier-623;06/09/2016 21:35;direct; 1;1
Vigie-chiro - Routier-57;06/09/2016 23:15;direct; 1;1
Vigiechiro - Pédestre-590514;06/09/2017 20:40;direct; 1;1
Vigie-chiro - Routier-287;06/09/2017 21:00;direct; 1;1
Vigie-chiro - Routier-92;06/09/2017 21:18;direct; 1;1
Vigie-chiro - Routier-59;06/09/2017 23:15;direct; 1;1
Vigiechiro - Pédestre-621406;06/09/2018 21:20;direct; 1;1
Vigiechiro - Pédestre-590132;06/09/2018 23:16;direct; 1;1
Vigiechiro - Pédestre-290551;07/06/2006 00:45;direct; 1;1
Vigie-chiro - Routier-72;07/07/2007 00:15;direct; 1;1
Vigie-chiro - Routier-25;07/07/2007 00:30;direct; 1;1
Vigie-chiro - Routier-54;07/07/2007 00:30;direct; 1;1
Vigie-chiro - Routier-57;07/07/2007 02:45;direct; 1;1
Vigie-chiro - Routier-115;07/07/2008 00:30;direct; 1;1
Vigiechiro - Pédestre-332150;07/07/2008 00:45;direct; 1;1
Vigiechiro - Pédestre-331721;07/07/2009 00:30;direct; 1;1
Vigie-chiro - Routier-72;07/07/2009 01:55;direct; 1;1
Vigie-chiro - Routier-179;07/07/2009 22:30;direct; 1;1
Vigiechiro - Pédestre-770094;07/07/2010 00:33;direct; 1;1
Vigiechiro - Pédestre-581117;07/07/2010 02:59;direct; 1;1
Vigie-chiro - Routier-157;07/07/2011 00:25;direct; 1;1
Vigie-chiro - Routier-398;07/07/2011 00:30;direct; 1;1
