Scientific.name
Anas platyrhynchos × Mareca penelope
Spatula clypeata
Glechoma hederacea
Troglodytes troglodytes
Falco tinnunculus
Circus cyaneus
Bufo spinosus
Gladiolus italicus
Glis glis
Cephalanthera longifolia
Milvus migrans
Onychogomphus forcipatus unguiculatus
Anax imperator
Carcharodus alceae
Orthetrum cancellatum
Sixalix atropurpurea
Anthidium florentinum
Decticus albifrons
Pontia daplidice
Phoenicopterus roseus
Chroicocephalus genei
Crocothemis erythraea
Ischnura elegans
Pieris rapae
Volvopluteus gloiocephalus
Vulpes vulpes
Lepus europaeus
Sus scrofa
Martes foina
Turdus merula
Fringilla coelebs
Chloris chloris
Rhinolophus ferrumequinum
Sciurus vulgaris
Apis mellifera
Oryctolagus cuniculus
Oenanthe hispanica
Neptis rivularis
Angaracris barabensis
Bryodemella holdereri
Columba livia
Gentiana decumbens
Sanguisorba officinalis
Gampsocleis sedakovii
Scutellaria scordifolia
Mylabris speciosa
Goniolimon speciosum
Geranium wlassovianum
Phedimus aizoon
Allium ramosum
Aconitum anthora
Linaria buriatica
Stellera chamaejasme
Veronica longifolia
Dianthus chinensis
Delphinium grandiflorum
Anyphaena accentuata
Harmonia axyridis
Byturus ochraceus
Coreus marginatus
Cetonia aurata
Bombus pratorum
Leiopus femoratus
Pisaura mirabilis
Oniscus asellus
Enallagma cyathigerum
Crataegus monogyna
Neottia ovata
Oxyloma elegans
Lamium album
Barbarea vulgaris
Dorcus parallelipipedus
Pyrgus carthami
Iris reichenbachiana
Euthrix potatoria
Gentiana verna
Marmota marmota
Symphoricarpos albus
Calopteryx splendens
Platycnemis pennipes
Valeriana officinalis
Malachius bipustulatus
Temnostoma vespiforme
Phyllobius pomaceus
Aricia agestis
Bryonia cretica
Pieris napi
Perdix perdix
Volucella bombylans
Cantharis fusca
Caracara plancus
Elanus leucurus
Tringa semipalmata
Calidris alba
Pluvialis squatarola
Eudocimus albus
Thalasseus maximus
Calidris minutilla
Saimiri oerstedii
Nasua narica
Heliconia latispatha
Mastigodryas melanolomus
Ara macao
Trogon tenellus
Penelope purpurascens
Cacicus uropygialis
Clelia clelia
Ardea herodias
Alouatta palliata
Leptotila verreauxi
Sula leucogaster
Anous stolidus
Daptrius chimachima
Crax rubra
Ocypode gaudichaudii
Gecarcinus quadratus
Eucometis penicillata
Coccothraustes coccothraustes
Tarentola angustimentalis
Cyanistes teneriffae
Lanius excubitor
Passer hispaniolensis
Spilopelia senegalensis
Kleinia neriifolia
Polyommatus celina
Spilopelia senegalensis phoenicophila
Ischnura saharensis
Elphinstonia charlonia
Orthetrum chrysostigma
Upupa epops
Acrotylus insubricus
Sphingonotus rubescens
Curruca conspicillata
Atlantoxerus getulus
Corvus corax
Omocestus simonyi
Tetraena fontanesii
Lanius excubitor koenigi
Larus fuscus
Charadrius hiaticula
Tadorna ferruginea
Gryllomorpha dalmatina
Ornithorhynchus anatinus
Grallina cyanoleuca
Rhipidura leucophrys
Ageratum houstonianum
Solanum capsicoides
Thylogale thetis
Platycercus elegans
Alectura lathami
Alisterus scapularis
Neosericornis citreogularis
Sericornis frontalis
Mullus barbatus
Oedalechilus labeo
Podarcis tiliguerta
Pyrrhocorax graculus
Uromenus brevicollis insularis
Erithacus rubecula
Columba palumbus
Acrocephalus palustris
Coenagrion puella
Oreina gloriosa
Silpha tristis
Phasia hemiptera
Aglais urticae
Erebia meolans
Volucella pellucens
Phyllopertha horticola
Formica rufa
Carterocephalus palaemon
Podiceps cristatus
Larus marinus
Cerinthe major
Serapias strictiflora
Pelophylax perezi
Cistus crispus
Cytinus hypocistis
Lyrurus tetrix
Somateria mollissima
Histrionicus histrionicus
Gallinago gallinago
Uria lomvia
Cygnus cygnus
Kalmia procumbens
Silene acaulis
Fulmarus glacialis
Bucephala islandica
Clangula hyemalis
Fratercula arctica
Turdus iliacus
Anser anser
Alca torda
Pluvialis apricaria
Rissa tridactyla
Uria aalge
Potentilla crantzii
Aythya fuligula
Phoca vitulina vitulina
Somateria spectabilis
Larus hyperboreus
Anas platyrhynchos
Globularia alypum
Prunella collaris
Capra ibex
Rhinolophus hipposideros
Egretta caerulea
Lutjanus mahogoni
Echinometra lucunter
Thalassoma bifasciatum
Haemulon carbonarium
Holocentrus adscensionis
Anisotremus virginicus
Acanthurus chirurgus
Lutjanus apodus
Chaetodon striatus
Acanthurus coeruleus
Sparisoma rubripinne
Bodianus rufus
Scarus iseri
Ophioblennius macclurei
Myrichthys ocellatus
Charadrius semipalmatus
Coragyps atratus
Ramphocelus passerinii
Tityra semifasciata
Anartia jatrophae
Homeomastax robertsi
Caiman crocodilus
Tigrisoma mexicanum
Ateles geoffroyi
Basiliscus plumifrons
Anhinga anhinga
Cookeina speciosa
Butorides virescens
Pteroglossus torquatus
Mesembrinibis cayennensis
Rhinella horribilis
Iguana iguana
Cardisoma guanhumi
Leptoscelis tricolor
Heliconia pogonantha
Eriophora nephiloides
Pierella helvina incanescens
Atta cephalotes
Calathea crotalifera
Psychotria limonensis
Argiope submaronica
Basiliscus vittatus
Costus woodsonii
Ocypode quadrata
Cebus imitator
Micrathena sexspinosa
Oophaga pumilio
Chelonia mydas
Myiozetetes similis
Romalea reticulata
Patagioenas cayennensis
Ramphastos sulfuratus
Copiphora hastata
Schizophyllum commune
Trichonephila clavipes
Thalurania colombica
Boana rufitela
Priochilus gloriosum
Holcosus festivus
Bothriechis schlegelii
Ascalapha odorata
Marpesia petreus
Heliconius hecale
Rhinoclemmys annulata
Cholus xanthospilus
Richardia telescopica
Biolleyana costalis
Gasteracantha cancriformis
Zonotrichia capensis
Thraupis episcopus
Psittacara finschi
Campylorhynchus rufinucha
Pitangus sulphuratus
Ranunculus omiophyllus
Auricularia auricula-judae
Scathophaga stercoraria
Antigone canadensis
Actitis macularius
Melospiza lincolnii
Bison bison
Columba livia domestica
Pelecanus erythrorhynchos
Aythya marila
Aythya affinis
Turdus migratorius
Branta canadensis
Odocoileus hemionus
Cecropis daurica
Empusa pennata
Zygaena rhadamanthus
Anacridium aegyptium
Testudo hermanni
Matthiola tricuspidata
Ophrys sphegodes atrata
Morisia monanthos
Erodium corsicum
Aiolopus strepens
Thymelaea hirsuta
Cicindela campestris nigrita
Senecio transiens
Podarcis siculus siculus
Horistus orientalis
Ophrys argolica morisii
Meloe violaceus
Allium triquetrum
Hister quadrimaculatus
