term;Estimate;Std..Error;z.value;Pr...z..;bt_mean;bt_sd;coef_raw;coef;ICinf;ICsup;VIF;res
year;-0.0940575158299884;0.0284378437032681;-3.30747706511867;0.000941404201605927;2015.96827450429;4.28047253415115;0.910230408077783;0.978266032468644;0.965610350557674;0.991087584893056;1.13090853384491;Eptser_sorting_60_Coefs.csv
year;-0.0884172555145704;0.029011928312464;-3.04761733044076;0.00230663458000641;2015.96827450429;4.28047253415115;0.915378850154374;0.979555916208808;0.966629421105671;0.992655274119557;1.16406394162941;Eptser_sorting_60_RP0_PF0_Coefs.csv
year;-0.172838763453014;0.0353929846905826;-4.8834187046961;1.04262147048612e-06;2015.96827450429;4.28047253415115;0.84127324790339;0.960425915750136;0.944986775315269;0.976117299987344;1.21208067977878;Eptser_sorting_60_RP35_PF50_Coefs.csv
year;-0.18271235571108;0.0375751620756482;-4.86258330285401;1.15863592097635e-06;2015.96827450429;4.28047253415115;0.833007731195687;0.958213093367117;0.941867952944488;0.974841886731329;1.21899683189131;Eptser_sorting_60_RP50_PF50_Coefs.csv
year;-0.0938871994154217;0.0274947802813252;-3.41472812129331;0.000638457053066974;2015.59041942605;4.26202702063452;0.910385448459903;0.978212094595823;0.965921511939182;0.990659065137166;1.01136025900795;Eptser_sorting_custom_Coefs.csv
year;0.182061553223324;0.128262846743113;1.41944107624525;0.155770464134473;2017.2866927593;3.70941033086356;1.19968803627284;1.05030541772265;0.98148354116376;1.12395310184168;1.32393182764663;Eptser_sorting_customARA_Coefs.csv
year;0.341001010327886;0.073064247144303;4.6671391775844;3.05422454980319e-06;2016.05134424904;3.29438980040991;1.40635466174078;1.10905645366906;1.06187984400628;1.15832899962053;1.07992912034844;Eptser_sorting_customBRETAGNE_Coefs.csv
year;0.0177824014569234;0.0727066906398062;0.244577236296157;0.806783791629681;2015.01417570879;4.52036742386042;1.01794144971233;1.00394158754258;0.972786448510475;1.03609452284291;1.02308194132976;Eptser_sorting_customCENTRE_Coefs.csv
year;-0.469276251183172;0.143773344448776;-3.26400038186751;0.00109851017386402;2016.31732867743;3.7939449604736;0.625454776666336;0.8836529859952;0.820398887886111;0.951784078681772;1.06728356369458;Eptser_sorting_customHDF_Coefs.csv
year;-0.254083719717258;0.0593400954553969;-4.28182189070189;1.85369330920102e-05;2013.2139561707;4.30956022024711;0.775626864066462;0.942746217488123;0.917644057976375;0.968535046745811;1.02633218850562;Eptser_sorting_customILE-DE-FRANCE_Coefs.csv
year;-0.36274538744743;0.0879810497450881;-4.12299453687391;3.73978571535358e-05;2013.43108384458;4.33591732648538;0.695763561084958;0.919743376251181;0.883882940005299;0.957058723356342;1.04860394780606;Eptser_sorting_customNORMANDIE_Coefs.csv
